"","AcadYr","AcadTerm","DepartmentNameByCourseCode","Course number","CourseCode","SectionNumber","CourseTitle","ClassType","Instructor1Name","GradeACount","GradeBCount","GradeCCount","GradeDCount","GradeFCount","GradePCount","GradeNPCount","GradeWCount"
"46","2010-11","Fall","Biological Sciences",1,5000,"A","LIFE SCIENCES","LEC","Symanski R.",53,84,137,13,5,5,8,0
"47","2010-11","Fall","Biological Sciences",2,5002,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,255,0,0
"48","2010-11","Fall","Biological Sciences",2,5003,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,268,1,0
"49","2010-11","Fall","Biological Sciences",2,5004,"A","FRESHMAN SEMINAR","SEM","Leon M.",0,0,0,0,0,145,1,0
"50","2010-11","Fall","Biological Sciences",3,5008,"B","NON-HEALTH CAREER","LEC","Leon M.",0,0,0,0,0,37,1,0
"51","2010-11","Fall","Biological Sciences",35,5040,"A","BRAIN AND BEHAVIOR","LEC","Metherate R.",66,98,97,22,5,14,14,0
"52","2010-11","Fall","Biological Sciences",45,5100,"A","AIDS FUNDAMENTALS","LEC","Fan H.",66,79,81,20,5,10,4,0
"53","2010-11","Fall","Biological Sciences",46,5170,"A","AIDS DISC & LIT RES","RES","Fan H.",12,0,0,0,0,0,0,0
"54","2010-11","Fall","Biological Sciences",55,5180,"A","INTRO TO ECOLOGY","LEC","Symanski R.",26,27,54,5,2,5,3,0
"55","2010-11","Fall","Biological Sciences",93,5200,"A","DNA TO ORGANISMS","LEC","O'Dowd D.",97,140,139,24,26,1,3,1
"56","2010-11","Fall","Biological Sciences",93,5220,"B","DNA TO ORGANISMS","LEC","O'Dowd D.",92,131,150,24,30,2,2,0
"57","2010-11","Fall","Biological Sciences",93,5240,"C","DNA TO ORGANISMS","LEC","Wood M.",101,132,154,25,19,2,7,0
"58","2010-11","Fall","Biological Sciences",93,5260,"D","DNA TO ORGANISMS","LEC","Busciglio J.",98,132,152,32,24,2,3,0
"59","2010-11","Fall","Biological Sciences",93,5280,"E","DNA TO ORGANISMS","LEC","Hoffmann F.",37,53,55,15,10,1,0,0
"60","2010-11","Fall","Biological Sciences",97,5300,"A","GENETICS","LEC","Edinger A.",90,152,152,39,4,1,1,3
"61","2010-11","Fall","Biological Sciences",97,5320,"B","GENETICS","LEC","Bardwell L.",78,131,136,32,5,0,2,1
"62","2010-11","Fall","Biological Sciences",97,5340,"C","GENETICS","LEC","Bardwell L.",62,117,114,29,3,0,1,2
"63","2010-11","Fall","Biological Sciences",97,5360,"D","GENETICS","LEC","Edinger A.",91,150,154,40,4,0,0,1
"64","2010-11","Fall","Biological Sciences",103,5520,"A","CELL BIOLOGY","LEC","Huang L.",43,88,99,32,13,0,0,0
"65","2010-11","Fall","Biological Sciences",103,5530,"B","CELL BIOLOGY","LEC","Huang L.",51,103,115,40,12,0,0,2
"66","2010-11","Fall","Biological Sciences",105,5540,"A","PLANT CELL MOL BIOL","LEC","Hoffmann F.",18,45,24,5,2,0,0,1
"67","2010-11","Fall","Biological Sciences",106,5600,"A","ECOLOGY & EVOLUTION","LEC","Sakai A.",17,38,35,9,1,0,2,1
"68","2010-11","Fall","Biological Sciences",109,5810,"A","HUMAN PHYSIOLOGY","LEC","Loudon C.",65,143,85,32,3,0,0,0
"69","2010-11","Fall","Biological Sciences",109,5815,"B","HUMAN PHYSIOLOGY","LEC","Loudon C.",124,134,58,7,4,0,0,2
"70","2010-11","Fall","Biological Sciences",111,5551,"1","DEV & CELL BIO LAB","LAB","Hoffmann F.",4,4,6,4,0,0,0,0
"71","2010-11","Fall","Biological Sciences",111,5552,"2","DEV & CELL BIO LAB","LAB","Hoffmann F.",7,10,4,2,1,0,0,0
"72","2010-11","Fall","Biological Sciences",111,5553,"3","DEV & CELL BIO LAB","LAB","Hoffmann F.",5,9,7,3,0,0,0,0
"73","2010-11","Fall","Biological Sciences",111,5554,"4","DEV & CELL BIO LAB","LAB","Hoffmann F.",8,8,8,0,0,0,0,0
